"order_id","order_item_id","product_id","seller_id"
"00010242fe8c5a6d1ba2dd792cb16214",1,"4244733e06e7ecb4970a6e2683c13e61","48436dade18ac8b2bce089ec2a041202"
"00018f77f2f0320c557190d7a144bdd3",1,"e5f2d52b802189ee658865ca93d83a8f","dd7ddc04e1b6c2c614352b383efe2d36"
"000229ec398224ef6ca0657da4fc703e",1,"c777355d18b72b67abbeef9df44fd0fd","5b51032eddd242adc84c38acab88f23d"
"00024acbcdf0a6daa1e931b038114c75",1,"7634da152a4610f1595efa32f14722fc","9d7a1d34a5052409006425275ba1c2b4"
"00042b26cf59d7ce69dfabb4e55b4fd9",1,"ac6c3623068f30de03045865e4e10089","df560393f3a51e74553ab94004ba5c87"
"00048cc3ae777c65dbb7d2a0634bc1ea",1,"ef92defde845ab8450f9d70c526ef70f","6426d21aca402a131fc0a5d0960a3c90"
"00054e8431b9d7675808bcb819fb4a32",1,"8d4f2bb7e93e6710a28f34fa83ee7d28","7040e82f899a04d1b434b795a43b4617"
"000576fe39319847cbb9d288c5617fa6",1,"557d850972a7d6f792fd18ae1400d9b6","5996cddab893a4652a15592fb58ab8db"
"0005a1a1728c9d785b8e2b08b904576c",1,"310ae3c140ff94b03219ad0adc3c778f","a416b6a846a11724393025641d4edd5e"
"0005f50442cb953dcd1d21e1fb923495",1,"4535b0e1091c278dfd193e5a1d63b39f","ba143b05f0110f0dc71ad71b4466ce92"
"00061f2a7bc09da83e415a52dc8a4af1",1,"d63c1011f49d98b976c352955b1c4bea","cc419e0650a3c5ba77189a1882b7556a"
"00063b381e2406b52ad429470734ebd5",1,"f177554ea93259a5b282f24e33f65ab6","8602a61d680a10a82cceeeda0d99ea3d"
"0006ec9db01a64e59a68b2c340bf65a7",1,"99a4788cb24856965c36a24e339b6058","4a3ca9315b744ce9f8e9374361493884"
"0008288aa423d2a3f00fcb17cd7d8719",1,"368c6c730842d78016ad823897a372db","1f50f920176fa81dab994f9023523100"
"0008288aa423d2a3f00fcb17cd7d8719",2,"368c6c730842d78016ad823897a372db","1f50f920176fa81dab994f9023523100"
"0009792311464db532ff765bf7b182ae",1,"8cab8abac59158715e0d70a36c807415","530ec6109d11eaaf87999465c6afee01"
"0009c9a17f916a706d71784483a5d643",1,"3f27ac8e699df3d300ec4a5d8c5cf0b2","fcb5ace8bcc92f75707dc0f01a27d269"
"000aed2e25dbad2f9ddb70584c5a2ded",1,"4fa33915031a8cde03dd0d3e8fb27f01","fe2032dab1a61af8794248c8196565c9"
"000c3e6612759851cc3cbb4b83257986",1,"b50c950aba0dcead2c48032a690ce817","218d46b86c1881d022bce9c68a7d4b15"
"000e562887b1f2006d75e0be9558292e",1,"5ed9eaf534f6936b51d0b6c5e4d5c2e9","8cbac7e12637ed9cffa18c7875207478"
"000e63d38ae8c00bbcb5a30573b99628",1,"553e0e7590d3116a072507a3635d2877","1c129092bf23f28a5930387c980c0dfc"
"000e906b789b55f64edcb1f84030f90d",1,"57d79905de06d8897872c551bfd09358","ea8482cd71df3c1969d7b9473ff13abc"
"000f25f4d72195062c040b12dce9a18a",1,"1c05e0964302b6cf68ca0d15f326c6ba","7c67e1448b00f6e969d365cea6b010ab"
"001021efaa8636c29475e7734483457d",1,"5d7c23067ed3fc8c6e699b9373d5890b","6560211a19b47992c3666cc44a7e94c0"
"0010b2e5201cc5f1ae7e9c6cc8f5bd00",1,"5a419dbf24a8c9718fe522b81c69f61a","3504c0cb71d7fa48d967e0e4c94d59d9"
"00119ff934e539cf26f92b9ef0cdfed8",1,"21b1c2f67a9aafb5af0eb06c13b9dbda","c864036feaab8c1659f65ea4faebe1da"
"0011d82c4b53e22e84023405fb467e57",1,"c389f712c4b4510bc997cee93e8b1a28","bfd27a966d91cfaafdb25d076585f0da"
